Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
59,"P Genestier, S Zouarhi, P Limeux…",Blockchain for consent management in the ehealth environment: A nugget for privacy and security challenges,2017,Journal of the …,journals.ukzn.ac.za,https://journals.ukzn.ac.za/index.php/JISfTeH/article/view/269,"https://scholar.google.com/scholar?cites=12789656341001743828&as_sdt=2005&sciodt=0,5&hl=en",3,2022-05-20 17:05:19,,,,,,,,,59,11.8,15,4,5,"… access to their data), the consent being recorded in the Blockchain through the consent management server In the second step (Figure 6) the patients’ data recording is classically done …",https://journals.ukzn.ac.za/index.php/JISfTeH/article/download/269/754,"https://scholar.google.com/scholar?q=related:1C27_K38fbEJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent+privacy&hl=en&as_sdt=0,5"
157,"M Benchoufi, R Porcher, P Ravaud",Blockchain protocols in clinical trials: Transparency and traceability of consent,2017,F1000Research,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5676196.5/,"https://scholar.google.com/scholar?cites=12601695881942225351&as_sdt=2005&sciodt=0,5&hl=en",21,2022-05-20 17:05:19,HTML,,,,,,,,157,31.4,52,3,5,"… In a context of growing mistrust of institutions and extreme sensitivity about rights to information and respecting privacy, we need to build a consent process as secure as possible with …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5676196.5/,"https://scholar.google.com/scholar?q=related:x1GrUqM34q4J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent+privacy&hl=en&as_sdt=0,5"
47,"K Rantos, G Drosatos, K Demertzis, C Ilioudis…",ADvoCATE: a consent management platform for personal data processing in the IoT using blockchain technology,2018,… Conference on Security …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-12942-2_23,"https://scholar.google.com/scholar?cites=12251278288284526880&as_sdt=2005&sciodt=0,5&hl=en",10,2022-05-20 17:05:19,,10.1007/978-3-030-12942-2_23,,,,,,,47,11.75,9,5,4,"… Blockchain technology is employed to protect and manage the privacy preferences that each … the system has set, ensuring that no sensitive data has been gained without their consent. …",https://www.academia.edu/download/63289089/secitc2018-advocate-consent_fin20200512-86045-feadb1.pdf,"https://scholar.google.com/scholar?q=related:IKmncbFIBaoJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent+privacy&hl=en&as_sdt=0,5"
24,"S Gilda, M Mehrotra",Blockchain for student data privacy and consent,2018,2018 International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8441445/,"https://scholar.google.com/scholar?cites=9926670920234665202&as_sdt=2005&sciodt=0,5&hl=en",2,2022-05-20 17:05:19,,,,,,,,,24,6,12,2,4,"… While this classic method of granting consent is familiar to the parties involved, it involves … between fields for consent nor keep track of usage. Blockchain technology represents a …",,"https://scholar.google.com/scholar?q=related:8oTJspuewokJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent+privacy&hl=en&as_sdt=0,5"
5,"D Hofman, C Shannon, B McManus…",Building trust & protecting privacy: analyzing evidentiary quality in a blockchain proof-of-concept for health research data consent management,2018,… on Internet of Things …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8726586/,"https://scholar.google.com/scholar?cites=14479094444403001707&as_sdt=2005&sciodt=0,5&hl=en",14,2022-05-20 17:05:19,,,,,,,,,5,1.25,1,4,4,In this paper we use a case study of a proof-of-concept blockchain system for management of the consent process in sharing of participant health research data. The solution is …,,"https://scholar.google.com/scholar?q=related:awn5A68T8MgJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent+privacy&hl=en&as_sdt=0,5"
2,F Frank,Consent management on the Ethereum Blockchain,2018,,essay.utwente.nl,http://essay.utwente.nl/76745/,"https://scholar.google.com/scholar?cites=6067764229889454133&as_sdt=2005&sciodt=0,5&hl=en",36,2022-05-20 17:05:19,,,,,,,,,2,0.5,2,1,4,"… The concept of revocation Control over data plays an important role when talking about consent and privacy, however, the actual conversion of these seemingly important topics into …",http://essay.utwente.nl/76745/2/Frank_MA_BMS.pdf,"https://scholar.google.com/scholar?q=related:NfBhL2sHNVQJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent+privacy&hl=en&as_sdt=0,5"
62,"K Bhaskaran, P Ilfrich, D Liffman…",Double-blind consent-driven data sharing on blockchain,2018,2018 IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8360358/,"https://scholar.google.com/scholar?cites=16004364238405578486&as_sdt=2005&sciodt=0,5&hl=en",6,2022-05-20 17:05:19,,,,,,,,,62,15.5,16,4,4,"… among the peers without explicit consent from the owners, and (… PRIVACY-PRESERVING BLOCKCHAIN SOLUTIONS Our … by participation in a blockchain network, if privacy and access …",https://www.researchgate.net/profile/V-Ramakrishna/publication/325213815_Double-Blind_Consent-Driven_Data_Sharing_on_Blockchain/links/5d4d3ed3299bf1995b7109ce/Double-Blind-Consent-Driven-Data-Sharing-on-Blockchain.pdf,"https://scholar.google.com/scholar?q=related:9i4h5nrsGt4J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent+privacy&hl=en&as_sdt=0,5"
15,"CS Kouzinopoulos, KM Giannoutakis…",Implementing a forms of consent smart contract on an IoT-based blockchain to promote user trust,2018,2018 Innovations in …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8466268/,"https://scholar.google.com/scholar?cites=13669794089093289824&as_sdt=2005&sciodt=0,5&hl=en",30,2022-05-20 17:05:19,,,,,,,,,15,3.75,5,3,4,… and privacy concerns of IoT device installations in smart homes in combination with the exploitation of the Blockchain … In this research it was shown that a proposed Blockchain-based …,https://isec.unige.ch/user/pages/01.home/_publication/04_ghost_2018.pdf,"https://scholar.google.com/scholar?q=related:YNcjYUzdtL0J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent+privacy&hl=en&as_sdt=0,5"
1,"HR Sousa, A Pinto",On the feasibility of blockchain for online surveys with reputation and informed consent support,2018,International Symposium on Ambient Intelligence,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01746-0_37,"https://scholar.google.com/scholar?cites=10331068350091675556&as_sdt=2005&sciodt=0,5&hl=en",46,2022-05-20 17:05:19,,10.1007/978-3-030-01746-0_37,,,,,,,1,0.25,1,2,4,"… privacy of personal information. Data collectors, in particular, must now obtain proof of the user’s consent … parties, we propose that consent should be stored in a blockchain. By being a …",,"https://scholar.google.com/scholar?q=related:pMd-le1TX48J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent+privacy&hl=en&as_sdt=0,5"
15,"K Rantos, G Drosatos, A Kritsas, C Ilioudis…",A blockchain-based platform for consent management of personal data processing in the IoT ecosystem,2019,Security and …,hindawi.com,https://www.hindawi.com/journals/scn/2019/1431578/,"https://scholar.google.com/scholar?cites=4977037163942878668&as_sdt=2005&sciodt=0,5&hl=en",23,2022-05-20 17:05:19,HTML,,,,,,,,15,5,3,5,3,"… Furthermore, blockchain technology is employed to both protect and manage the privacy … no sensitive data has been accessed without their consent. The framework, however, does not …",https://www.hindawi.com/journals/scn/2019/1431578/,"https://scholar.google.com/scholar?q=related:zJ27Xu78EUUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent+privacy&hl=en&as_sdt=0,5"
